ensembl_gene_id	go_id
781	FBgn0035510	GO:0005198
782	FBgn0034366	GO:0005737
783	FBgn0034366	GO:0048477
784	FBgn0034366	GO:0015031
785	FBgn0034366	GO:0000407
786	FBgn0034366	GO:0006914
787	FBgn0034366	GO:0000045
788	FBgn0034366	GO:0035096
789	FBgn0034366	GO:0034727
790	FBgn0034366	GO:0009267
791	FBgn0034366	GO:0016236
792	FBgn0034366	GO:0000422
793	FBgn0034366	GO:0016239
794	FBgn0034366	GO:0006497
795	FBgn0034366	GO:0032446
796	FBgn0034366	GO:0019779
797	FBgn0034366	GO:0006501
798	FBgn0034366	GO:0019778
799	FBgn0034366	GO:0008340
800	FBgn0034366	GO:0010506
801	FBgn0034366	GO:0050688
802	FBgn0034366	GO:0006995
803	FBgn0034366	GO:0044805
804	FBgn0034366	GO:0008641
805	FBgn0034366	GO:0043066
806	FBgn0034366	GO:0060548
807	FBgn0034366	GO:1903706
808	FBgn0034366	GO:1903599
809	FBti0019351	
810	FBti0063660	
811	FBgn0036935	GO:0016021
812	FBgn0036935	GO:0060271
813	FBgn0036935	GO:0035869
814	FBgn0036935	GO:0016020
815	FBgn0036935	GO:0005929
816	FBgn0036935	GO:0042995
817	FBgn0036935	GO:0030030
818	FBgn0034880	GO:0007155
819	FBgn0034880	GO:0008305
820	FBgn0034880	GO:0016020
821	FBgn0034880	GO:0016021
822	FBgn0034880	GO:0098609
823	FBgn0034880	GO:0046982
824	FBgn0034880	GO:0033627
825	FBgn0034880	GO:0009897
826	FBgn0034880	GO:0007157
827	FBgn0034880	GO:0007229
828	FBgn0034880	GO:0007160
829	FBgn0034880	GO:0005178
830	FBgn0034880	GO:0001555
831	FBgn0034880	GO:0031589
832	FBgn0012017	
833	FBgn0265650	
834	FBgn0265982	
835	FBgn0034470	GO:0042048
836	FBgn0034470	GO:0005549
837	FBgn0034470	GO:0007608
838	FBgn0034470	GO:0005576
839	FBgn0034470	GO:0007606
840	FBgn0034470	GO:0019236
841	FBgn0034470	GO:0050896
842	FBgn0000056	GO:0016491
843	FBgn0000056	GO:0005575
844	FBti0019410	
845	FBgn0262899	GO:0003674
846	FBgn0262899	GO:0008150
847	FBgn0262899	GO:0005575
848	FBgn0261436	GO:0008270
849	FBgn0261436	GO:0006147
850	FBgn0261436	GO:0019239
851	FBgn0261436	GO:0046098
852	FBgn0261436	GO:0051067
853	FBgn0261436	GO:0006726
