FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000332	0.092262	0.0227759	0.00590461	0.0175067	N/A	0.520523	0.532955
N0.HOG0000339	0.532289	0.522527	0.517353	0.517353	N/A	0.510424	0.000145288
N0.HOG0000349	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000356	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000365	0.532289	0.000259488	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000366	0.092262	0.543544	0.00590461	0.511671	N/A	0.520523	0.532955
N0.HOG0000383	0.532289	0.0336612	0.517353	0.00885641	N/A	0.510424	0.000145288
N0.HOG0000388	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000389	0.532289	0.0113876	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000401	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000402	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000408	0.532289	0.522527	1.74328e-05	0.505887	N/A	0.510424	0.516903
N0.HOG0000415	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000416	0.561485	0.000304058	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000417	0.532289	0.522527	0.0029523	0.00882236	N/A	0.510424	0.516903
N0.HOG0000418	0.532289	0.522527	0.00882236	0.0029523	N/A	0.510424	0.516903
N0.HOG0000421	0.532289	0.522527	0.517353	0.517353	N/A	0.510424	0.000145288
N0.HOG0000424	0.092262	0.0227759	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000430	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000431	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000432	0.532289	0.522527	0.505887	1.02938e-07	N/A	0.510424	0.516903
N0.HOG0000434	0.561485	0.0653274	8.67542e-05	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000435	0.532289	0.0336612	0.517353	0.517353	N/A	0.510424	0.000145288
N0.HOG0000442	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000444	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000446	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000451	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000453	0.532289	0.0336612	6.07827e-10	0.505887	N/A	0.510424	0.516903
N0.HOG0000455	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000456	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000460	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000462	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000463	0.532289	0.522527	0.505887	1.02938e-07	N/A	0.510424	0.516903
N0.HOG0000466	0.0163963	0.522527	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000467	0.092262	0.0227759	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000468	0.532289	5.91294e-06	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000469	0.561485	0.0227759	0.505887	0.505887	N/A	0.520523	0.0494368
N0.HOG0000475	0.092262	0.543544	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000477	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000478	0.0163963	0.0336612	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000482	0.032796	0.522527	0.505887	0.505887	N/A	0.0307862	0.516903
